Arousal,Valence
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,21
20,23
21,25
23,27
25,29
27,31
29,32
31,33
33,33
35,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
36,33
35,33
34,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
33,33
34,33
36,33
38,33
40,33
42,33
44,33
46,33
48,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,33
50,34
50,36
50,38
50,40
50,42
50,44
50,46
50,48
50,50
50,52
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
50,53
51,53
52,53
53,53
54,53
55,53
56,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
57,53
58,53
59,53
60,53
61,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
62,53
63,53
64,53
65,53
67,53
69,53
70,53
71,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
72,53
