Arousal,Valence
31,52
31,52
31,52
31,52
31,52
31,52
31,52
31,52
31,52
31,52
31,52
32,52
33,52
35,52
35,52
37,52
39,52
41,52
43,52
44,52
44,52
44,52
44,52
44,52
44,52
44,52
44,52
44,52
44,52
45,52
46,52
48,52
50,52
54,52
54,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
55,52
56,52
57,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
58,52
57,52
55,52
53,52
51,52
49,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,52
47,54
47,54
47,55
47,56
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
47,57
